MSO_Code,Device ID,Event Date,Event Time,Station Number,Program Code
01540,000000007d0c,20150104,110000,10035,EP007537910127
01540,000000007d0c,20150104,120000,10035,EP015312220009
01540,000000007d0c,20150104,123000,10035,EP015312220014
01540,000000007d0c,20150104,130000,10035,EP015312220008
01540,000000007d0c,20150104,133000,10035,EP015312220016
01540,000000007d0c,20150104,140000,10035,EP015312220021
01540,000000007d0c,20150104,143000,10035,EP015312220024
01540,000000007d0c,20150104,150000,10035,EP018343350001
01540,000000007d0c,20150104,150044,99993,MP_MISSINGPROGRAM
01540,000000007d0c,20150104,183102,10035,EP013413450052
01540,000000007d0c,20150104,183108,99993,MP_MISSINGPROGRAM
01540,000000007d0c,20150104,203118,10035,EP013413450097
01540,000000007d0c,20150104,203124,99993,MP_MISSINGPROGRAM
01540,000000007d0c,20150104,223133,10035,EP013413450128
01540,000000007d0c,20150104,223139,99993,MP_MISSINGPROGRAM
01540,000000007d0c,20150104,230200,10035,EP013413450114
01540,000000007d0c,20150104,233200,10035,EP013413450118
01540,000000007d3d,20150104,074454,70387,EP014680820081
01540,000000007d3d,20150104,074520,10142,SH017498070000
01540,000000007d3d,20150104,075828,10145,SH017672160000
01540,000000007d3d,20150104,075839,11069,SH003051850000
01540,000000007d3d,20150104,075920,11221,EP000021790079
01540,000000007d3d,20150104,080000,11221,EP011581190004
01540,000000007d3d,20150104,083000,11221,EP011581190005
01540,000000007d3d,20150104,084700,70387,EP014680820066
01540,000000007d3d,20150104,085003,12574,EP018375220048
01540,000000007d3d,20150104,085353,70387,EP014680820066
01540,000000007d3d,20150104,090000,70387,EP014680820050
01540,000000007d3d,20150104,090020,10057,EP018007480004
01540,000000007d3d,20150104,090030,12574,EP014328710073
01540,000000007d3d,20150104,092512,10142,EP012360950170
01540,000000007d3d,20150104,092524,10989,MV003389570000
01540,000000007d3d,20150104,093000,10989,MV001553330000
01540,000000007d3d,20150104,093039,10145,SH017672160000
01540,000000007d3d,20150104,094348,70387,EP014680820050
01540,000000007d3d,20150104,100000,70387,EP014680820048
01540,000000007d3d,20150104,110000,70387,EP014680820058
